"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover","Corn-Corn-Corn",47.7271401666667,5.58785786366803,3,29.9440825539859,65.5101977793475,"A"
"4","Wheat","Corn-Corn-Corn",56.2154991666666,5.58785784727567,3,38.4324416061536,73.9985567271797,"A"
"1","Clover","Corn-Corn-Corn",59.383608,5.5878578426479,3,41.6005504542146,77.1666655457854,"A"
"2","Wheat-Clover","Corn-Corn-Corn",51.0151614166667,5.58785788435589,3,33.2321037381478,68.7982190951855,"A"
"5","SHM","Corn-Corn-Corn",53.4159209166667,5.58785781908258,3,35.6328634458767,71.1989783874567,"A"
"6","No cover","Soybean-Soybean-Soybean",48.1696244166666,5.58785786366803,3,30.3865668039858,65.9526820293475,"A"
"9","Wheat","Soybean-Soybean-Soybean",43.79220475,5.58785784727568,3,26.0091471894869,61.5752623105131,"A"
"10","Clover","Soybean-Soybean-Soybean",47.3620423333333,5.5878578426479,3,29.5789847875479,65.1450998791187,"A"
"7","Wheat-Clover","Soybean-Soybean-Soybean",54.1277405833333,5.58785788435589,3,36.3446829048144,71.9107982618522,"A"
"8","SHM","Soybean-Soybean-Soybean",49.4764080833333,5.5878578190826,3,31.6933506125432,67.2594655541234,"A"
"14","No cover","Corn-Soybean-Corn",44.8991450833334,5.58785786366803,3,27.1160874706525,62.6822026960142,"A"
"13","Wheat","Corn-Soybean-Corn",56.1496868333333,5.58785784727569,3,38.3666292728203,73.9327443938464,"A"
"12","Clover","Corn-Soybean-Corn",49.7706003333333,5.58785784264791,3,31.9875427875479,67.5536578791188,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",57.6008804166667,5.58785788435589,3,39.8178227381479,75.3839380951855,"A"
"15","SHM","Corn-Soybean-Corn",53.3639900833334,5.58785781908259,3,35.5809326125433,71.1470475541234,"A"
"18","No cover","Corn-Cotton-Soybean",61.5153319166666,5.58785786366803,3,43.7322743039858,79.2983895293475,"A"
"19","Wheat","Corn-Cotton-Soybean",55.22587525,5.58785784727567,3,37.442817689487,73.008932810513,"A"
"16","Clover","Corn-Cotton-Soybean",54.4663903333333,5.5878578426479,3,36.6833327875479,72.2494478791187,"A"
"17","Wheat-Clover","Corn-Cotton-Soybean",58.8159288333333,5.5878578843559,3,41.0328711548145,76.5989865118522,"A"
"20","SHM","Corn-Cotton-Soybean",58.2365208333333,5.58785781908258,3,40.4534633625433,76.0195783041233,"A"
