"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"4","Wheat","Corn-Corn-Corn",1.51771666666666,0.194620194639969,3,0.898348347301099,2.13708498603223,"AB"
"3","Clover","Corn-Corn-Corn",1.09966666666666,0.174408993914491,3,0.544619408375244,1.65471392495809,"B"
"2","Wheat-Clover","Corn-Corn-Corn",1.89723333333333,0.20913073168143,3,1.23168600897249,2.56278065769418,"A"
"1","SHM","Corn-Corn-Corn",1.34453333333333,0.136664450476776,3,0.909606057849888,1.77946060881678,"AB"
"8","Wheat","Soybean-Soybean-Soybean",1.69058333333333,0.194620194639969,3,1.07121501396776,2.3099516526989,"A"
"7","Clover","Soybean-Soybean-Soybean",1.28643333333333,0.17440899391449,3,0.731386075041912,1.84148059162475,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",1.78096666666666,0.209130731681429,3,1.11541934230582,2.44651399102751,"A"
"5","SHM","Soybean-Soybean-Soybean",1.49883333333333,0.136664450476776,3,1.06390605784989,1.93376060881677,"A"
"12","Wheat","Corn-Soybean-Corn",1.52076666666667,0.194620194639969,3,0.9013983473011,2.14013498603223,"AB"
"11","Clover","Corn-Soybean-Corn",0.951699999999998,0.174408993914491,3,0.396652741708578,1.50674725829142,"B"
"10","Wheat-Clover","Corn-Soybean-Corn",1.74605,0.209130731681431,3,1.08050267563915,2.41159732436085,"A"
"9","SHM","Corn-Soybean-Corn",1.33925,0.136664450476776,3,0.904322724516556,1.77417727548344,"AB"
"16","Wheat","Corn-Cotton-Soybean",1.44966666666667,0.194620194639969,3,0.8302983473011,2.06903498603223,"AB"
"15","Clover","Corn-Cotton-Soybean",1.10561666666666,0.174408993914491,3,0.550569408375244,1.66066392495809,"B"
"14","Wheat-Clover","Corn-Cotton-Soybean",1.90548333333333,0.20913073168143,3,1.23993600897249,2.57103065769418,"A"
"13","SHM","Corn-Cotton-Soybean",1.50693333333333,0.136664450476776,3,1.07200605784989,1.94186060881678,"AB"
